,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
1879,1991,BMW 320i,15.000,E30,Cabriolet,217.850,129,1300
1880,1986,Mercedes-Benz 300 SL,50.000,R 107,Cabriolet (Roadster),107.171,180,1500
1881,1966,AC Cobra,79.000,Mk IV,Coupé,0,440,0
1882,1994,Rover Mini Cabriolet,30.000,MK VI,Cabriolet,41.365,53,730
1883,1984,Alfa Romeo 2,22.950,Tipo 115 - Serie 3a,Cabriolet,123.000,127,1070
1884,1997,FIAT Punto GT,12.900,Tipo 176,Kleinwagen,51.000,133,1000
1885,1981,Citroën 2 CV 6 Charleston,10.000,,Limousine (4-Türen),55.664,29,600
1886,1994,Jeep Wrangler YJ 4,17.900,YJ,Geländewagen,146.500,183,1500
1887,1997,Lancia Kappa ,9.900,,Coupé,70.000,205,1475
1888,1981,Alfa Romeo 2000 Spider Veloce,25.900,Tipo 115 - Serie 2a,Cabriolet,230.000,127,1040
1889,1985,Mercedes-Benz 380 SE,17.500,W 126,Limousine (4-Türen),81.300,204,1595
1890,1975,Jaguar XJ 6 3,23.000,Serie II,Limousine (4-Türen),10.415,161,1740
1891,1996,Alfa Romeo 164 2,8.000,,Limousine (4-Türen),57.000,144,1400
1892,1956,MG Magnette ZA,10.840,,Limousine,89.000,60,1110
1893,1980,Lancia Beta Montecarlo,26.700,Serie II,Coupé,102.000,120,970
1894,1990,Mercedes-Benz 190 E 1,3.900,W 201,Limousine (4-Türen),271.000,109,1250
1895,1995,Toyota Celica 2,27.500,T20,Coupé,134.792,175,1300
1896,1996,Subaru Impreza,120.000,,Rennwagen (4-Türen),3.654,301,0
1897,1998,FIAT ,11.500,,Coupé,68.643,147,1270
1898,1972,FIAT 130 ,32.000,,Coupé,109.148,165,1580
1899,1965,FIAT 500 F,8.500,,Limousine (2-Türen),28.314,18,520
1900,1964,FIAT 600 D,6.800,,Limousine (2-Türen),118.000,31,580
1901,1969,FIAT 500 L,5.700,,Limousine (2-Türen),29.000,18,520
1902,1996,FIAT Punto Cabrio S,5.500,,Cabriolet,199.600,58,1000
1903,1956,FIAT 600,11.500,,Limousine (2-Türen),49.830,22,580
1904,1984,FIAT Panda 4x4,11.000,,Kleinwagen,130.000,49,750
1905,1971,FIAT 500 L,4.990,,Limousine (2-Türen),80.891,18,520
1906,1985,FIAT Campagnola,9.500,Typ 1101,Geländewagen,85.000,53,1250
1907,1966,FIAT 1500 C,5.600,,Limousine,63.650,80,1000
1908,2015,Audi R8 V10,134.000,42,Coupé,27.639,525,0
1909,1965,Alfa Romeo Giulia 1600 TI,33.750,,Limousine (4-Türen),0,92,0
1910,1976,Alfa Romeo 2000 Spider Veloce,25.000,Tipo 115 - Serie 2a,Cabriolet,8.655,132,0
1911,1992,Alpine A 610 3000,35.500,,Coupé,65.855,250,1420
1912,2008,Land Rover Defender 90 TD4,49.500,,Geländewagen (Offen),26.800,122,0
1913,1994,Land Rover Defender 110,89.000,,Geländewagen,0,113,0
1914,1946,Ford V8 Coupe 5Window,19.750,,Coupé,0,110,1200
1915,2005,Ford Mustang V6,14.900,Mustang V,Cabriolet,179.000,213,1470
1916,1962,DKW Auto Union 1000 Spezial Roadster,45.900,,Cabriolet (Roadster),64.000,55,0
1917,1955,Citroën 2 CV,14.950,,Limousine (4-Türen),12.345,12,600
1918,2002,Ferrari 575M Maranello,146.414,575,Coupé,10.300,515,1730
1919,1963,Alfa Romeo Giulietta Spider,55.000,,Cabriolet,34.790,80,850
1920,2015,Mini Cooper,15.500,R57,Kleinwagen,126.684,122,1240
1921,1963,BMW 700 CS,49.800,Typ 107,Coupé,46.000,40,0
1922,1964,Rolls-Royce Silver Cloud III,95.000,,Limousine (4-Türen),0,200,0
1923,1958,Chevrolet Corvette,Auf Anfrage,C1,Cabriolet,72.420,248,0
1924,1976,Rover 2200 TC,12.000,P6,Limousine,37.235,115,1320
1925,2007,Aston Martin DB 9,69.500,,Coupé,13.600,456,0
1926,1998,Porsche 911 Turbo,289.911,993,Coupé,30.642,450,0
1927,1988,Renault R 4 TL,8.500,,Limousine,148.424,34,700
1928,2009,Aston Martin V8 Vantage,41.007,,Coupé,86.904,426,0
1929,1973,Lotus Seven,39.900,Serie IV,Cabriolet (Roadster),265.541,72,750
1930,1967,Austin-Healey 3000 Mk III,70.000,ADO 26,Cabriolet (Roadster),4.000,148,0
1931,1986,Mercedes-Benz 560 SL,56.000,R 107,Cabriolet (Roadster),57.864,230,0
1932,1952,DeSoto Firedome Stationwagon,39.000,,Kombi,125.529,160,0
1933,1986,Mercedes-Benz 560 SL,24.560,R 107,Cabriolet (Roadster),127.138,230,0
1934,1967,Austin-Healey 3000 Mk III,65.000,ADO 26,Cabriolet (Roadster),37.000,148,0
1935,1944,Willys MB,29.900,,Geländewagen,0,60,0
1936,1996,Porsche 911 Carrera,89.000,993,Coupé (Targa),123.100,286,1450
1937,1961,Mercedes-Benz 190 SL,224.900,W 121 B II,Cabriolet (Roadster),2.961,105,0
1938,1977,BMW 633 CSi,29.500,E24,Coupé,165.000,200,1470
1939,1949,Bentley Mark VI,82.019,,Limousine (4-Türen),0,137,1850
1940,2008,Ferrari 599 GTB Fiorano,139.599,,Coupé,55.170,620,0
1941,1972,Volvo 1800 ES,37.497,W-Y,Kombi,0,115,0
1942,1960,Autobianchi Bianchina Cabriolet,26.900,,Cabriolet,0,21,580
1943,1970,Autobianchi Bianchina Panoramica,8.900,3a,Kleinwagen (Kombi),104.100,18,585
1944,1962,Autobianchi Bianchina Panoramica,12.000,3a,Kleinwagen (Kombi),46.000,18,585
1945,1970,Autobianchi Bianchina Panoramica,9.500,3a,Kleinwagen (Kombi),0,18,585
1946,1991,Autobianchi Y10,6.850,II. Serie,Kleinwagen,164.000,50,800
1947,2011,Aston Martin Cygnet,44.500,,Kleinwagen,20.969,98,988
1948,1960,Austin-Healey 3000 Mk I,79.950,ADO 30,Cabriolet (Roadster),6.833,124,1100
1949,1988,BMW 320i,20.000,E30,Cabriolet,90.000,129,1300
1950,1959,Austin-Healey 3000 Mk I,64.000,ADO 30,Cabriolet (Roadster),0,124,0
1951,1996,Vauxhall Calibra 2,11.308,C 20,Coupé,84.168,204,1350
1952,1960,FIAT 500 D,34.900,,Cabriolet,0,18,0
1953,1963,Autobianchi Bianchina Cabriolet,34.900,,Cabriolet,0,21,0
1954,1963,Bentley S 3,89.500,,Limousine (4-Türen),79.337,200,0
1955,1958,Bentley S 1,140.000,,Coupé,46.586,180,1970
1956,1936,Bentley 4 1,263.651,,Coupé,0,109,0
1957,1992,BMW 325i,12.850,E36,Coupé,73.370,192,0
1958,1963,Porsche 356 B 1600,115.000,B,Coupé,6.437,60,0
1959,1960,Mercedes-Benz 220 SE Cabriolet,179.900,W 128,Cabriolet,0,120,0
1960,1965,Jaguar E-Type 4,Auf Anfrage,Serie I,Coupé,0,269,1290
1961,1986,Alfa Romeo 2,Auf Anfrage,Tipo 115 - Serie 3a,Cabriolet,105.729,127,0
1962,1990,Jaguar XJS 5,29.236,Series II,Cabriolet,114.263,281,0
1963,2005,Mercedes-Benz SLK 200 Kompressor,12.900,R 171,Cabriolet (Roadster),185.471,163,0
1964,1990,Nissan 300 ZX  Twin Turbo,24.900,Z32,Coupé (Targa),173.203,283,0
1965,1980,Ferrari 512 BB,Auf Anfrage,,Coupé,0,360,0
1966,2000,Volvo V40 T4,6.500,Typ V,Kombi,165.000,200,0
1967,2001,Porsche 911 Turbo,62.900,996,Coupé,0,420,0
1968,1973,Mercedes-Benz 450 SL,34.950,R 107,Cabriolet (Roadster),105.286,192,1650
1969,1972,Volvo 1800 E,53.750,U-W,Coupé,137.208,124,0
1970,1998,BMW Z3 M 3,46.950,E 36-7S,Cabriolet (Roadster),110.500,321,0
1971,1977,Ferrari 308 GTB,179.500,,Coupé,95.087,227,1320
1972,1932,Riley Nine Gamecock,99.000,,Cabriolet (Roadster),0,48,0
1973,1976,Porsche 911 2,105.000,"""G-Modell""",Cabriolet (Targa),165.000,165,0
1974,1966,Jaguar E-Type 4,98.424,Serie I,Coupé,0,269,0
1975,2001,Mercedes-Benz SL 500,22.500,R 230,Cabriolet (Roadster),179.743,306,0
1976,1984,BMW 323i Baur TC,32.500,E30,Cabriolet (Limousine),90.196,150,0
1977,1975,BMW 2002,24.990,E10 / 73,Limousine (2-Türen),86.500,100,0
1978,2005,Volvo V 70 2,10.540,Typ S,Kombi,125.529,170,0
1979,2008,Mercedes-Benz CLK 500,14.900,A 209,Cabriolet,192.574,367,0
1980,1986,Mercedes-Benz 300 SL,53.000,R 107,Cabriolet (Roadster),107.171,180,1500
1981,1977,Mercedes-Benz 280 SE,16.990,W 116,Limousine (4-Türen),96.456,177,0
1982,2012,Land Rover Defender 90,Auf Anfrage,,Geländewagen,0,122,1812
1983,1968,Triumph TR 5 PI,Auf Anfrage,,Cabriolet,0,150,1030
1984,2004,BMW M3 CSL,Auf Anfrage,E46,Coupé,0,360,1385
1985,1993,Peugeot 405 Mi16,Auf Anfrage,,Limousine (4-Türen),0,147,1080
1986,1977,Aston Martin V8 Vantage,111.319,,Coupé,77.248,430,0
1987,1991,Honda Prelude,21.500,,Coupé,82.142,140,1240
1988,1972,Lancia Fulvia Coupe,15.000,Serie II,Coupé,0,90,930
1989,1994,Lancia Delta HF Turbo,18.500,836,Limousine,44.000,186,1312
1990,1992,Lancia Dedra 2,12.000,835,Limousine (4-Türen),15.000,162,1245
1991,1990,Lancia Delta HF Integrale 16V,51.500,831,Limousine (4-Türen),87.000,200,0
1992,1933,Lancia Augusta,27.900,,Limousine (4-Türen),23.812,35,850
1993,1982,Lancia Beta Coupe 2000 i,10.900,,Coupé,112.871,122,970
1994,1969,Lancia Fulvia Sport 1,37.400,Serie I,Coupé,4.700,87,930
1995,1951,Lancia Ardea,14.900,Serie IV,Limousine (4-Türen),70.000,28,780
1996,1991,Lancia Thema I,15.000,,Limousine,31.000,116,1150
1997,1990,Lancia Thema 16V,4.500,Y9,Limousine (4-Türen),79.000,147,1150
1998,1985,Lancia Thema I,7.800,,Limousine,167.000,165,1150
1999,1992,Lancia Dedra 2,12.000,835,Limousine (4-Türen),91.000,162,1245
2000,1986,Lancia Thema I,12.000,,Limousine,124.000,120,1150
2001,1999,Lancia Delta 2,19.900,836,Limousine (3-Türen),137.000,139,1200
2002,1961,Lancia Appia,11.000,Serie III,Limousine,63.000,48,900
2003,1958,Lancia Appia Pininfarina,24.500,,Coupé,0,53,840
2004,2016,Alfa Romeo Giulia Quadrifoglio,85.000,Tipo 952,Limousine (4-Türen),29.000,510,1600
2005,1928,Pontiac New Series Special,83.900,,Cabriolet (Rennwagen),0,90,0
2006,1956,Mercedes-Benz 220 S Cabriolet,220.000,W 180 II,Cabriolet,6.365,100,0
2007,1970,Jaguar 420 G,9.950,,Limousine,92.366,265,0
2008,1955,Mercedes-Benz 180 D,4.750,W 120,Limousine (4-Türen),50.188,40,0
2009,1971,Morris Minor 1000 Traveller,19.329,,Kombi,126.333,48,800
2010,1970,FIAT 850 T,17.800,,Bus (Pritsche),0,33,850
2011,1937,Bentley 4 1,169.000,,Cabriolet,0,109,0
2012,1972,Jaguar E-Type V12,87.500,Serie III,Cabriolet (Roadster),0,276,0
2013,1966,Austin-Healey 3000 Mk III,54.500,ADO 26,Cabriolet (Roadster),0,148,0
2014,1964,Triumph TR 4,29.500,,Cabriolet,0,100,0
2015,1951,Allard K2,139.500,K-Series,Cabriolet (Roadster),0,100,0
2016,1946,MG TC,38.500,,Cabriolet (Roadster),0,54,0
2017,1950,MG TD,26.500,,Cabriolet (Roadster),0,54,0
2018,1978,Mercedes-Benz 450 SLC 5,59.500,C 107,Coupé,146.000,240,0
2019,1946,Chevrolet AK Series,59.500,AK,Pickup (Pritsche),0,90,0
2020,1949,Healey Silverstone,199.000,,Cabriolet (Roadster),0,105,0
2021,1947,Healey 2,139.000,,Cabriolet (Roadster),0,105,0
2022,1937,Lagonda 4,285.000,,Cabriolet (Roadster),0,150,0
2023,1978,Lotus Esprit,89.500,Serie II,Coupé,0,150,0
2024,1953,Austin-Healey 100,135.000,,Cabriolet,0,90,0
2025,1968,Citroën ID 19 Usine,142.500,DY,Cabriolet,0,83,0
2026,1934,Bentley 3 1,Auf Anfrage,,Cabriolet,0,115,0
2027,1963,Austin-Healey 3000 Mk II,65.500,ADO 30,Cabriolet (Roadster),0,131,0
2028,1951,Racing Green B Special Alpine,295.000,,Cabriolet (Roadster),0,196,0
2029,1973,Volvo 1800 ES,39.900,W-Y,Kombi,14.800,115,0
2030,1974,Volkswagen T1 Brasil,36.000,Typ 2 T1,Bus,99.999,50,0
2031,1991,Porsche 928 GT,69.900,928,Coupé,160.819,330,0
2032,1965,Mercedes-Benz 230 SL,129.900,W 113,Cabriolet,67.000,150,0
2033,2013,Rolls-Royce Phantom ,Auf Anfrage,,Coupé,13.600,460,0
2034,1972,Datsun 240 Z,58.989,S30,Coupé,0,151,0
2035,1998,Bentley Turbo RT,37.497,,Limousine,114.263,404,0
2036,1978,Volkswagen T2b Camper,36.757,Typ 2,Bus (Wohnmobil),0,50,0
2037,1988,Alfa Romeo Sprint 1,19.900,,Coupé,46.430,105,0
2038,1983,Ford Capri 2,Auf Anfrage,Serie II `78,Coupé,21.356,90,0
2039,1967,Lotus Super,49.000,Serie II,Cabriolet (Roadster),42.487,75,750
2040,1984,Maserati Biturbo 2,14.500,,Limousine (2-Türen),117.000,180,1410
2041,2010,Ford Focus RS,35.000,Focus '04,Limousine (Hatchback),127.621,305,1437
2042,2020,Tesla Model 3 Standard,32.804,,Limousine (4-Türen),8.690,325,0
2043,1975,Marlin Roadster,8.000,,Cabriolet (Roadster),95.000,90,0
2044,1966,Lamborghini 5 CTL,6.000,,Nutzfahrzeug (Traktor),2.000,39,0
2045,1965,Mercedes-Benz 220 SE b,49.750,W 111,Coupé,48.500,120,0
2046,1939,Wanderer W 23,Auf Anfrage,,Cabriolet,39.000,62,0
2047,1990,Mercedes-Benz 300 SE,25.000,W 126,Limousine (4-Türen),117.132,179,0
2048,1977,Ferrari 400 GT,150.000,,Coupé,101.000,340,0
2049,1974,Porsche 911 2,119.900,"""Urmodell""",Coupé,88.380,165,1080
2050,1962,Jaguar E-Type 3,185.000,Serie I,Coupé,0,269,0
2051,1990,Jaguar XJ 6 4,6.900,XJ40,Limousine (4-Türen),90.000,222,0
2052,1972,Mercedes-Benz 300 SEL 6,111.111,W 109,Limousine (4-Türen),151.766,320,0
2053,1985,Alfa Romeo Giulietta 1,8.950,Typ 116,Limousine (4-Türen),96.100,122,1100
2054,1976,Alfa Romeo 2000 Berlina,13.000,,Limousine (4-Türen),9.500,132,1100
2055,1985,Alfa Romeo 90 2,4.995,,Limousine,141.830,128,1210
2056,1991,Alfa Romeo 33 - 1,2.500,Typ 907,Limousine (4-Türen),73.600,90,0
2057,1962,Alfa Romeo Giulietta Sprint,52.600,,Coupé,91.600,80,900
2058,1972,Alfa Romeo Montreal,67.900,,Coupé,13.600,195,1270
2059,1986,Alfa Romeo 33 - 1,3.900,Typ 905,Limousine (4-Türen),132.500,79,1000
2060,1987,Alfa Romeo 75 3,20.000,,Limousine,180.000,185,1150
2061,1988,Alfa Romeo 75 1,14.500,,Limousine,120.500,155,1150
2062,1980,Alfa Romeo Giulietta 1,8.000,Typ 116,Limousine (4-Türen),84.329,95,0
2063,1991,Alfa Romeo 2,22.000,Tipo 115 - Serie 4,Cabriolet,118.000,120,1130
2064,1973,Alfa Romeo 2000 GT Veloce,49.900,Tipo 105,Coupé,39.850,131,1040
2065,1965,Alfa Romeo Giulia 1600 GTC,109.500,,Cabriolet,143.500,106,1050
2066,1975,Alfa Romeo Montreal,84.500,,Coupé,83.900,195,1270
2067,1976,Alfa Romeo 2000 Berlina,18.900,,Limousine (4-Türen),60.500,132,1100
2068,1981,Alfa Romeo GTV 2,14.900,,Coupé,23.500,131,1200
2069,1995,Alfa Romeo 164 2,14.000,,Limousine (4-Türen),71.000,201,1400
2070,1984,Alfa Romeo Alfetta Quadrifoglio Oro,14.500,,Limousine,186.500,131,1200
2071,1997,Alfa Romeo GTV 2,10.900,Tipo 916,Coupé (2-Türen),32.000,150,1500
2072,1990,Alfa Romeo 1,23.000,Tipo 115 - Serie 4,Cabriolet,60.897,107,1130
2073,1974,Alfa Romeo Giulia Nuova Super 1300,13.500,,Limousine (4-Türen),50.500,89,1050
2074,1990,Alfa Romeo 33 1,13.900,Typ 907,Limousine (4-Türen),141.700,132,0
2075,1961,Alfa Romeo Giulietta Spider,67.000,,Cabriolet,0,80,850
2076,1984,Alfa Romeo Alfasud 1,7.800,,Coupé,56.341,86,900
2077,1992,Alfa Romeo 164 2,10.900,,Limousine (4-Türen),122.000,204,1400
2078,1961,Alfa Romeo Giulietta Spider,72.000,,Cabriolet,62.900,80,850
2079,1965,Land Rover 109,30.500,Serie II A,Geländewagen,52.195,68,0
2080,1990,Mercedes-Benz 200,4.250,W 124,Limousine,149.000,105,1600
2081,1998,BMW Z3 M ,59.900,E 36-8S,Coupé,50.962,321,0
2082,1971,Porsche 911 2,85.500,"""Urmodell""",Coupé,68.240,125,0
2083,1961,Alfa Romeo Giulietta Spider,63.900,,Cabriolet,66.365,80,850
2084,2021,Land Rover Defender 90 P525 V8,230.000,L663,Geländewagen,9.196,525,2678
2085,1955,Jaguar XK 140 SE OTS,120.000,140,Cabriolet (Roadster),5.708,193,1210
2086,1966,Porsche 911 2,240.000,"""Urmodell""",Coupé,40.825,160,1080
2087,2001,Superformance Cobra 427,145.000,Mk III,Cabriolet (Roadster),12.875,550,0
2088,1990,Ferrari 348 TB,74.900,,Coupé,56.129,300,1390
2089,1960,Chevrolet Corvette,120.000,C1,Cabriolet,37.697,274,1300
2090,1985,Porsche 911 Carrera 3,129.000,"""G-Modell""",Coupé,156.815,231,1140
2091,2022,Ferrari Roma,240.000,F154,Coupé,6.000,620,1570
2092,1971,Mercedes-Benz 280 SE 3,112.800,W 111,Coupé,13.000,200,1450
2093,1972,Jaguar E-Type V12,56.000,Serie III,Coupé,101.710,276,0
2094,2015,Alfa Romeo 4C,74.500,,Coupé,2.285,241,0
2095,1960,Porsche 356 B 1600 Super 90,99.000,B,Coupé,99.779,90,0
2096,1976,Aston Martin V8,Auf Anfrage,,Coupé,180.085,315,0
2097,1935,FIAT 508 Balilla Serie 2,13.800,,Limousine (2-Türen),0,20,0
2098,2010,Maserati GranTurismo 4,41.500,,Coupé,127.465,405,0
2099,1981,Toyota Land Cruiser BJ 42,23.700,,Geländewagen,312.898,90,0
2100,1988,FIAT 126,600.000,,Limousine (2-Türen),95.000,24,0
2101,1983,Volkswagen Golf I GTI Pirelli 1,34.500,Typ 17,Limousine (3-Türen),41.678,112,0
2102,1984,Caterham Super Seven,35.000,,Cabriolet (Roadster),40.000,84,750
2103,1973,Datsun 240 Z,59.989,S30,Coupé,3.484,151,0
2104,1968,Porsche 911 2,119.989,"""Urmodell""",Coupé,0,130,0
2105,1975,Mercedes-Benz 350 SL,33.900,R 107,Cabriolet (Roadster),285.000,200,0
2106,1987,Alfa Romeo 75 1,65.000,,Limousine (4-Türen),67.000,155,1150
2107,2017,Porsche 911 GT3 RS,264.900,991.2,Coupé,0,500,1420
2108,1964,Alfa Romeo Giulia 1600 Spider,Auf Anfrage,,Cabriolet,100.000,92,0
2109,1970,FIAT Dino 2400 Coupe,65.000,,Coupé,0,180,0
2110,1951,Jaguar XK 120 OTS,42.000,120,Cabriolet (Roadster),100.000,162,0
2111,1958,Alfa Romeo Giulietta Spider Veloce,140.000,Tipo 750,Cabriolet,0,90,0
2112,1959,Porsche 356 B 1600 Roadster,Auf Anfrage,B,Cabriolet,100.000,60,0
2113,1993,Rover Mini,20.000,MK II,Cabriolet,11.000,41,0
2114,2004,Aston Martin DB AR1,263.651,,Cabriolet,0,435,1740
2115,1972,Alfa Romeo Giulia Super 1,55.000,,Limousine (4-Türen),4.650,102,1050
2116,1971,Porsche 911 2,109.900,"""Urmodell""",Cabriolet (Targa),158.000,130,0
2117,2009,Porsche Cayenne GTS,24.600,9PA,Geländewagen,73.565,405,0
2118,2018,BMW 440i,49.900,F33,Cabriolet,42.900,326,1600
2119,2007,Mercedes-Benz S 63 AMG L,33.950,V 221,Limousine (4-Türen),58.761,525,0
2120,1973,FIAT 124 Sport Coupe,15.000,,Coupé,37.600,110,0
2121,1981,Alfa Romeo Alfasud 1,12.000,,Limousine (4-Türen),65.560,63,0
2122,1970,FIAT 500 Francis Lombardi,17.000,,Kleinwagen (Limousine),71.430,18,0
2123,1971,FIAT 500 Francis Lombardi,20.000,,Kleinwagen (Limousine),0,18,0
2124,1979,FIAT 126,6.500,,Limousine (2-Türen),60.325,24,0
2125,1969,FIAT 500 F,10.000,,Limousine (2-Türen),47.050,18,0
2126,1991,Renault R 4,10.000,,Limousine (5-Türen),164.790,34,0
2127,1991,FIAT Panda 750,8.500,,Kleinwagen,53.845,34,0
2128,1968,FIAT Gamine Vignale,33.000,,Cabriolet (Roadster),40.460,22,0
2129,1938,Rolls-Royce Phantom III,129.000,,Cabriolet,35.889,165,0
2130,2001,Ferrari 360 Spider,82.019,,Cabriolet,33.531,400,0
2131,2000,Ferrari 550 Maranello,Auf Anfrage,,Coupé,7.725,485,0
2132,1990,Mercedes-Benz 560 SEC,35.142,C 126,Coupé,138.218,279,0
2133,1991,Mercedes-Benz 260 E,12.900,W 124,Limousine (4-Türen),182.834,160,0
2134,2001,Rolls-Royce Corniche V,152.273,,Cabriolet,27.359,331,0
2135,1929,Packard Standard Eight 626,74.500,,Cabriolet (Roadster),35.616,90,0
2136,2011,Abarth 695 Tributo Ferrari,35.095,,Limousine (Kleinwagen),53.752,180,0
2137,1965,Sunbeam Tiger Mk I,64.500,,Cabriolet,0,164,0
2138,1961,Volkswagen T1 Samba 1,59.900,Typ 2 T1,Bus,0,34,0
2139,1967,Ford Shelby GT 500,136.900,Mustang I Serie 2,Coupé (Fastback),4.000,400,0
2140,1968,Porsche 912,74.900,,Coupé,150.960,90,1080
2141,2017,Mercedes-Benz G 350 d,76.107,W 463,Geländewagen,105.756,245,0
2142,2020,Mercedes-Benz G 63 AMG,181.568,W 463,Geländewagen,37.179,585,0
2143,2016,Mercedes-Benz G 65 AMG,93.684,W 463,Geländewagen,76.436,630,0
2144,2016,Mercedes-Benz GLC 250 4MATIC,29.236,X 253,Geländewagen,58.162,211,0
2145,2017,Mercedes-Benz GLC 250 4MATIC,25.721,X 253,Geländewagen,75.877,211,0
2146,2018,Mercedes-Benz GLC 250 4MATIC,28.650,X 253,Geländewagen,47.051,211,0
2147,2011,Nissan GT-R,64.390,Mk II,Coupé,64.208,530,0
2148,1987,Panther Kallista,23.377,,Cabriolet (Roadster),66.199,150,0
2149,1989,Peugeot 205 GTi 1,23.377,,Kleinwagen (3-Türen),174.594,128,0
2150,2014,Porsche 911 Carrera,64.390,991.1,Coupé,32.005,350,0
2151,2019,Porsche 911 Carrera 4S,105.402,992,Cabriolet,22.103,450,0
2152,2009,Porsche 911 Carrera S,56.187,997.2,Coupé,76.897,385,0
2153,2016,Porsche 911 Turbo S,122.979,991.2,Cabriolet,26.672,580,0
2154,2019,Porsche Macan S,56.187,95B,Geländewagen,46.051,354,0
2155,2015,Porsche Macan Turbo,37.438,95B,Geländewagen,88.752,400,0
2156,2018,Porsche Macan Turbo,50.328,95B,Geländewagen,91.079,400,0
2157,2014,Porsche Panamera GTS,44.469,970,Limousine (4-Türen),97.013,440,0
2158,2021,Porsche Taycan,76.107,,Limousine (4-Türen),22.713,408,0
2159,2018,Volkswagen T6 Multivan 2,49.156,Typ SG,Bus,44.270,204,0
2160,2017,Mercedes-Benz E 63 AMG T,52.672,S 213,Kombi,92.692,571,0
2161,2018,Mercedes-Benz C 63 S AMG,49.156,A 205,Cabriolet,73.157,510,0
2162,2014,Mercedes-Benz C 63 AMG,35.095,W 204,Limousine (4-Türen),78.206,457,0
2163,2012,McLaren MP4-12C,93.684,,Coupé,25.706,608,0
2164,2011,McLaren MP4-12C,76.107,,Coupé,58.469,608,0
2165,2016,McLaren 570S,93.684,,Coupé,52.765,570,0
2166,2013,Land Rover Range Rover Vogue TDV6,29.236,L405,Geländewagen,170.371,258,0
2167,2020,Maserati Levante S,70.248,,Geländewagen,37.068,430,0
2168,2017,Land Rover Range Rover Vogue SDV8,76.107,L405,Geländewagen,74.113,339,0
2169,2012,Land Rover Range Rover Vogue SDV8,19.862,L405,Geländewagen,218.249,339,0
2170,2018,Land Rover Range Rover Sport TDV6,46.813,L494,Geländewagen,73.058,259,0
2171,2018,Land Rover Range Rover Sport TDV6,50.328,L494,Geländewagen,74.252,259,0
2172,2021,Land Rover Range Rover Sport SVR,105.402,L494,Geländewagen,28.793,575,0
2173,2019,Land Rover Range Rover Sport SVR,76.107,L494,Geländewagen,46.135,575,0
2174,2021,Land Rover Defender 110 P400 AWD,87.825,L663,Geländewagen,23.039,400,0
2175,2023,Land Rover Range Rover P530,193.286,L460,Geländewagen,0,530,0
2176,2017,Jaguar F-Type SVR,67.905,,Coupé,15.796,575,0
2177,2016,Alfa Romeo 4C,56.187,,Coupé,17.848,241,0
2178,2022,BMW M3 Competition Touring xDrive,50.328,G81,Kombi,22.182,510,0
2179,2015,Jaguar F-Type S,35.095,,Coupé,46.582,380,0
2180,1994,Morgan Plus 8,39.500,,Cabriolet (Roadster),0,217,850
2181,1954,Ford Comete Monte Carlo,89.500,,Coupé,0,105,1300
2182,1971,Morris Minor 1000 Traveller,19.500,,Kombi,0,48,800
2183,1978,Triumph Spitfire 1500,22.850,,Cabriolet,0,72,820
2184,1960,Triumph TR 3A,34.500,,Cabriolet (Roadster),0,100,900
2185,1981,FIAT X 1,12.750,,Cabriolet (Targa),0,85,880
2186,1956,Jaguar XK 140 FHC,78.500,140,Coupé,0,193,1340
2187,1947,MG TC,38.500,,Cabriolet (Roadster),0,54,840
2188,1963,Saab 96 Sport,34.750,,Limousine (2-Türen),0,52,950
2189,1937,MG TA,58.003,,Cabriolet (Roadster),0,50,800
2190,2001,Jaguar XK8 4,24.500,X100,Coupé,73.000,284,1780
2191,1984,Morgan Plus 8,39.500,,Cabriolet (Roadster),0,155,850
2192,1953,MG TD,29.500,,Cabriolet (Roadster),0,54,920
2193,1957,Triumph TR 3,36.500,,Cabriolet (Roadster),0,95,900
2194,1956,MG MGA 1500,29.500,MK I,Cabriolet (Roadster),0,68,900
2195,1980,Triumph TR 8,24.500,,Cabriolet (Roadster),0,137,1160
2196,1965,Saab 96 Sport,33.500,,Limousine (2-Türen),0,55,950
2197,1991,Mercedes-Benz 230 CE,14.900,C 124,Coupé,142.000,132,0
2198,1991,Mercedes-Benz 560 SEL,19.970,W 126,Limousine (4-Türen),305.000,279,0
2199,1964,Volvo PV 544,14.950,C-G,Limousine (2-Türen),17.127,75,0
2200,1969,Chevrolet Camaro SS,59.950,Serie I,Coupé,122.119,330,0
2201,1984,Bitter SC 3,44.990,,Coupé,81.000,210,0
2202,1995,Mercedes-Benz E 280 T,24.990,S 124,Kombi,124.286,197,0
2203,1970,SIMCA 1301,Auf Anfrage,,Limousine,0,70,1080
2204,1976,SIMCA 1000 Rallye 2,Auf Anfrage,,Limousine,0,82,700
2205,1976,SIMCA 1000 Rallye 2,Auf Anfrage,,Limousine,0,82,700
2206,1992,Peugeot 205 CTi 1,Auf Anfrage,,Cabriolet,0,115,820
2207,1978,SIMCA 1000 Rallye 3,Auf Anfrage,,Limousine,0,103,700
2208,1977,SIMCA 1000 Rallye 2,Auf Anfrage,,Limousine,0,86,700
2209,1975,SIMCA 1301,Auf Anfrage,,Limousine,0,70,1080
2210,1976,Matra-Simca Bagheera,Auf Anfrage,,Coupé,70.000,84,1010
