,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
7998,1961,Porsche 356 B 1600 Super,169.000,B,Cabriolet,40.124,75,0
7999,1953,Bentley R-Type,219.900,,Cabriolet,4.500,137,0
8000,1970,Mercedes-Benz 280 SL,91.500,W 113,Cabriolet (Roadster),97.500,170,1400
8001,1959,Mercedes-Benz 300 SL Roadster,Auf Anfrage,W 198 II,Cabriolet (Roadster),98.092,215,0
8002,1977,FIAT Pininfarina Spideramerica,31.500,,Cabriolet,115.889,105,0
8003,1965,Triumph TR 4,36.500,,Cabriolet,4.651,100,0
8004,1996,BMW Z3 1,15.500,E 36-7,Cabriolet (Roadster),84.315,140,1375
8005,2009,Alfa Romeo 8C Competizione,269.510,,Coupé,11.265,450,0
8006,1977,Ferrari 308 GTB,Auf Anfrage,,Coupé,0,255,1320
8007,1953,Bentley R-Type Continental,820.248,,Coupé,0,137,0
8008,1967,Aston Martin DB 6 Vantage Volante,615.186,,Cabriolet,0,330,0
8009,1972,Ferrari 365 GTB,580.033,,Coupé,0,352,0
8010,1957,Mercedes-Benz 300 SL Roadster,Auf Anfrage,W 198 II,Cabriolet (Roadster),84.043,215,0
8011,1988,Rolls-Royce Corniche II,76.166,,Cabriolet,157.715,200,0
8012,1986,BMW M 635 CSi,75.900,E24,Coupé,160.000,286,0
8013,1977,Chevrolet C10 Fleetside,14.800,Serie III,Pickup,144.256,165,0
8014,1991,Ford F-150,13.700,Serie VIII,Pickup,144.256,185,0
8015,1979,Chevrolet C 20,15.200,,Pickup,141.566,245,0
8016,1987,Ford F-250,14.700,Serie VII,Pickup,58.364,155,0
8017,1963,Imperial Le Baron Hardtop,15.200,,Limousine (4-Türen),164.256,345,0
8018,1970,Mercedes-Benz 280 SE,129.000,W 111,Cabriolet,22.243,160,0
8019,1963,Austin-Healey 3000 Mk II,72.500,ADO 30,Cabriolet (Roadster),24.700,131,0
8020,1971,Citroën SM,58.531,C 114/1,Coupé,80.000,170,0
8021,1979,Bentley T 2,46.813,,Limousine (4-Türen),112.654,220,0
8022,1973,Dodge Charger SE 400,30.000,,Coupé,0,254,1800
8023,1959,Triumph TR 3A,38.500,,Cabriolet (Roadster),10.223,100,0
8024,1961,Mercedes-Benz 190 SL,195.000,W 121 B II,Cabriolet (Roadster),0,105,0
8025,1971,Trabant 601,2.500,,Limousine (2-Türen),37.770,23,0
8026,1969,Renault R 4,2.500,,Limousine (5-Türen),126.774,27,0
8027,1958,Mercedes-Benz 220 S Cabriolet,128.000,W 180 II,Cabriolet,55.496,106,0
8028,1950,Buick 40 Special,49.900,Serie 40,Limousine (4-Türen),62.684,110,0
8029,1968,Plymouth Road Runner Hardtop ,69.900,,Coupé (Hardtop),148.783,340,0
8030,1946,Chevrolet AK Series,79.500,AK,Pickup (Pritsche),0,90,0
8031,1968,Dodge Charger R,239.000,XS,Coupé,0,425,0
8032,1989,Mazda RX-7 S,7.617,FC,Coupé,143.231,105,0
8033,1939,MG VA,59.900,,Cabriolet,1.682,55,0
8034,1954,Jaguar XK 120 DHC,175.000,120,Cabriolet,0,162,0
8035,1983,Mini Moke,22.900,,Cabriolet (Tourer),51.743,39,0
8036,1979,FIAT Spider 2000 Pininfarina 50th Anniversary Edition,8.900,,Cabriolet,86.582,82,0
8037,2011,Peugeot 207 CC 1,7.900,,Cabriolet,181.517,120,0
8038,2013,Volkswagen Beetle 1,19.900,Typ 5C,Cabriolet,107.587,105,0
8039,1971,Morris Minor 1000 Traveller,13.900,,Kombi,53.760,48,0
8040,1957,MG MGA 1500,37.900,MK I,Cabriolet (Roadster),73.983,72,0
8041,1967,FIAT 500 F,13.900,,Limousine (2-Türen),68.900,18,0
8042,1988,Saab 900 2,14.900,,Cabriolet,220.576,160,0
8043,1974,Triumph Spitfire 1500,9.900,,Cabriolet,123.700,72,0
8044,1974,MG MGB,22.900,B Serie III,Cabriolet (Roadster),59.055,96,0
8045,1973,Volkswagen Käfer 1303 LS,27.900,Typ 15,Cabriolet,26.849,50,0
8046,1995,Mercedes-Benz SL 320,19.129,R 129,Cabriolet (Roadster),105.990,231,0
8047,1962,Volvo P 131,24.900,,Limousine (2-Türen),22.825,68,0
