Unnamed: 0,baujahr,name,preis,baureihe,karosserieform,kilometerstand,leistung,gewicht
4918,1982,DeLorean DMC-12,79.950,,Coupé,22.048,132,1268
4919,1969,Porsche 911 2,135.000,"""Urmodell""",Coupé,0.0,110,1080
4921,1962,Land Rover 109,49.500,Serie II A,Geländewagen,119.32,68,1702
4924,1968,Ford Mustang GT,19.750,Mustang I Serie 2 | J-Code,Coupé (Fastback),0.0,233,1369
4950,1966,FIAT 1300 Vignale,55.000,,Coupé,82.55,84,1030
4951,2002,Jaguar XK8 4,35.000,X100,Coupé,86.866,284,1780
4952,1949,Triumph 2000 Roadster,45.500,,Cabriolet,1.838,68,1100
4953,1997,Jaguar XJ 6 4,12.000,X300,Limousine (4-Türen),118.765,241,1800
4954,1976,Porsche 911 Carrera 3,85.000,"""G-Modell""",Coupé,99.4,200,1140
4955,1973,Porsche 911 2,109.000,"""Urmodell""",Cabriolet (Targa),33.816,130,1080
4956,1987,Mercedes-Benz 560 SEL,24.500,W 126,Limousine (4-Türen),265.084,300,1550
4957,1963,Jaguar E-Type 3,145.000,Serie I,Coupé,9.023,269,1290
4958,1963,Alfa Romeo 2600 Spider,155.000,Typ 106.01,Cabriolet,17.247,145,1300
4959,1970,FIAT 124 Spider BS,20.000,,Cabriolet,75.0,110,940
4960,1962,Jaguar Mk II 3,37.000,,Limousine (4-Türen),17.318,224,1480
4961,1969,Innocenti Mini Cooper,18.900,Mk2,Limousine (2-Türen),1.012,60,670
4962,1997,Subaru Impreza WRX STi Type R,45.000,Version IV,Coupé,123.0,280,1270
4963,1957,FIAT 1100-103 E TV,35.000,,Limousine,18.077,53,860
4964,1975,BMW 1502,13.500,Typ 115,Limousine (2-Türen),3.597,75,980
4965,1984,Daimler DS 420,8.500,,Limousine (Pullman),50.0,175,2160
4966,1971,Mercedes-Benz 350 SL,45.000,R 107,Cabriolet (Roadster),247.713,200,1650
4967,1963,FIAT 500 D,14.000,,Limousine (2-Türen),96.549,18,510
4968,1981,Ferrari 308 GTBi,85.000,,Coupé,40.468,205,1320
4969,1964,FIAT 1500 Pininfarina,25.500,,Coupé,1.425,67,1030
4970,1963,Lancia Flaminia GT 2,149.000,,Coupé,63.117,150,1520
4971,2000,Ferrari 360 Modena,145.000,,Coupé,83.895,400,1365
4972,1961,Bentley S 2,43.000,,Limousine (4-Türen),69.0,200,2000
4973,1973,Lancia Fulvia Sport 1,39.900,Serie II,Coupé,57.0,90,930
4974,1952,Mercedes-Benz 220 Cabriolet A,125.000,W 187,Cabriolet,74.389,80,1350
4976,1975,Mercedes-Benz 450 SEL 6,49.900,W 116,Limousine (4-Türen),57.0,286,1700
4977,1968,Porsche 911 2,170.000,"""Urmodell""",Coupé,35.9,170,1080
4978,1968,Porsche 911 2,165.000,"""Urmodell""",Coupé,84.394,160,1080
4979,2006,Jaguar S-Type 4,21.000,X202,Limousine (4-Türen),128.852,400,1800
4980,1963,Jaguar Mk X 3,25.000,,Limousine,24.14,220,1900
4981,1933,FIAT 508 S Balilla Sport,53.000,,Cabriolet (Roadster),38.652,36,670
4982,1973,Lancia 2000 Coupe HF,37.500,820.406,Coupé,81.134,125,1200
4983,1997,Alfa Romeo 156 2,9.000,Tipo 932,Kombi,131.0,190,1600
4984,1965,MG MGB,23.500,B Serie I,Cabriolet (Roadster),10.07,96,1010
4990,1978,Audi 80 GLS,12.497,B1 / Typ 82,Limousine (4-Türen),80.0,85,950
4992,1956,Jaguar Mk VII M,29.950,,Limousine,95.023,190,1690
4993,1930,Citroën C4,9.950,C 4,Limousine (4-Türen),93.507,30,1200
4994,1930,Citroën C4,8.950,C 4,Limousine (4-Türen),2.639,30,1200
4995,1962,Alfa Romeo 2000 Spider,85.000,,Cabriolet,49.549,115,1250
4997,1969,Oldsmobile 442,94.413,,Coupé,10.0,375,1600
4998,2003,Maserati 4200 Cambiocorsa,20.899,,Coupé,142.0,390,1670
4999,1983,Porsche 911 SC 3,73.409,"""G-Modell""",Cabriolet,173.0,204,1160
5000,1968,Rolls-Royce Silver Shadow I,37.282,,Limousine,52.0,178,2060
5002,1964,Mercedes-Benz 300 SE,185.000,W 112,Cabriolet,42.2,170,1600
5003,1999,Audi A4 1,15.753,B5 8D2,Limousine (4-Türen),124.0,125,1570
5009,1999,Honda Integra Type R,34.900,,Coupé,78.9,190,1200
5014,1980,Mercedes-Benz 500 SLC,40.958,C 107,Coupé,131.2,240,1650
5016,1965,Chevrolet Chevelle Malibu,35.000,,Cabriolet,41.485,254,1507
5017,1965,Chevrolet Corvette Sting Ray,120.773,C2,Coupé,74.0,350,1370
5018,1976,Pontiac Firebird TransAm,40.958,,Coupé,61.0,188,1850
5020,1968,Maserati Mistral 4000,135.000,,Coupé,73.578,255,1200
5021,1957,Mercedes-Benz 220 S Cabriolet,96.000,W 180 II,Cabriolet,0.0,106,1450
5022,1960,Austin-Healey Sprite Mk I,24.500,ADO 13,Cabriolet (Roadster),71.788,44,640
5023,1961,Jaguar Mk II 3,52.000,,Limousine (4-Türen),0.0,210,1440
5024,1969,Pontiac GTO,56.711,,Coupé,46.5,350,1680
5025,1991,BMW 525i,20.899,E34,Limousine (4-Türen),92.0,192,1650
5026,1969,Autobianchi Bianchina Panoramica,7.500,3a,Kleinwagen (Kombi),59.0,18,585
5027,1972,Volvo 1800 ES,36.757,W-Y,Kombi,0.0,115,1130
5029,1969,Morris Mini Traveller,14.500,MK II,Kombi,97.0,38,730
5030,1974,Chevrolet Camaro LT,36.757,Serie II,Coupé,36.36,175,1600
